epoch_num,start_time,lap_time,train_loss,valid_loss,used_gpu_memory,free_gpu_memory,memory_percentage,current_gpu_power_consumption,gpu_temperature
1,2023-06-13 15:30:41,0:00:03.184359,18800.859375,19323.94140625,23431.0,837.0,18.8,222.29,66.0
2,2023-06-13 15:30:45,0:00:02.043658,18680.5068359375,19186.666015625,23431.0,837.0,19.4,196.16,65.0
3,2023-06-13 15:30:47,0:00:02.197614,18517.447265625,18871.736328125,23431.0,837.0,19.4,201.10,66.0
4,2023-06-13 15:30:49,0:00:01.579111,17998.46875,18245.048828125,23431.0,837.0,19.5,219.54,65.0
5,2023-06-13 15:30:51,0:00:01.389207,17462.9794921875,17129.419921875,23431.0,837.0,19.5,208.22,67.0
6,2023-06-13 15:30:53,0:00:00.901296,16061.71337890625,15315.505859375,23431.0,837.0,19.5,211.66,67.0
7,2023-06-13 15:30:54,0:00:01.535574,14051.8330078125,12606.3759765625,23431.0,837.0,19.5,208.93,68.0
8,2023-06-13 15:30:56,0:00:01.484609,11125.958984375,8974.4775390625,23431.0,837.0,19.5,208.55,66.0
9,2023-06-13 15:30:57,0:00:01.609633,7455.445068359375,4903.56103515625,23431.0,837.0,19.4,207.46,65.0
10,2023-06-13 15:30:59,0:00:01.766537,3523.138916015625,2003.5577392578125,23431.0,837.0,19.4,196.69,66.0
11,2023-06-13 15:31:01,0:00:01.927135,1852.41748046875,2486.824951171875,23431.0,837.0,19.4,188.74,66.0
12,2023-06-13 15:31:03,0:00:01.940325,3486.087890625,3251.150146484375,23431.0,837.0,19.4,196.47,65.0
13,2023-06-13 15:31:05,0:00:01.795755,3572.6724853515625,1882.712158203125,23431.0,837.0,19.4,184.80,65.0
14,2023-06-13 15:31:07,0:00:01.841864,1830.3564453125,886.4036254882812,23431.0,837.0,19.4,196.43,66.0
15,2023-06-13 15:31:10,0:00:02.030134,720.404052734375,1082.4803466796875,23431.0,837.0,19.4,190.25,65.0
16,2023-06-13 15:31:12,0:00:02.060092,893.9668579101562,1680.0572509765625,23431.0,837.0,19.4,200.18,66.0
17,2023-06-13 15:31:14,0:00:02.036245,1401.8865356445312,1988.8629150390625,23431.0,837.0,19.4,206.37,66.0
18,2023-06-13 15:31:16,0:00:01.533319,1470.173095703125,1856.292724609375,23431.0,837.0,19.5,214.48,66.0
19,2023-06-13 15:31:18,0:00:01.358356,1403.3123168945312,1463.0145263671875,23431.0,837.0,19.5,208.09,67.0
20,2023-06-13 15:31:20,0:00:00.914898,1082.8423767089844,1097.46142578125,23431.0,837.0,19.5,221.41,66.0
21,2023-06-13 15:31:21,0:00:00.891074,804.5486755371094,952.1253051757812,23431.0,837.0,19.5,211.53,67.0
22,2023-06-13 15:31:22,0:00:01.619480,959.8402709960938,979.9122314453125,23431.0,837.0,19.5,205.75,66.0
23,2023-06-13 15:31:24,0:00:01.547843,992.2038879394531,967.8750610351562,23431.0,837.0,19.5,203.73,65.0
24,2023-06-13 15:31:26,0:00:01.552910,993.814208984375,861.923095703125,23431.0,837.0,19.4,206.95,66.0
25,2023-06-13 15:31:27,0:00:01.627739,882.2647705078125,809.6795654296875,23431.0,837.0,19.5,206.06,65.0
26,2023-06-13 15:31:29,0:00:01.526556,646.5223388671875,874.9711303710938,23431.0,837.0,19.5,207.98,66.0
27,2023-06-13 15:31:31,0:00:01.584021,616.497314453125,976.4658813476562,23431.0,837.0,19.5,210.43,66.0
28,2023-06-13 15:31:33,0:00:01.448882,735.1167297363281,1019.096923828125,23431.0,837.0,19.4,202.20,66.0
29,2023-06-13 15:31:34,0:00:01.632167,700.0389404296875,970.4567260742188,23431.0,837.0,19.4,196.83,66.0
30,2023-06-13 15:31:36,0:00:01.934611,756.8269348144531,879.1976318359375,23431.0,837.0,19.3,190.75,66.0
31,2023-06-13 15:31:38,0:00:02.118385,668.6680603027344,816.62255859375,23431.0,837.0,19.3,198.14,66.0
32,2023-06-13 15:31:41,0:00:01.933640,639.0997009277344,798.205322265625,23431.0,837.0,19.3,205.52,67.0
33,2023-06-13 15:31:43,0:00:01.541619,719.7058410644531,792.4212036132812,23431.0,837.0,19.5,220.32,68.0
34,2023-06-13 15:31:45,0:00:00.961972,667.8317260742188,794.4104614257812,23431.0,837.0,19.5,210.76,67.0
35,2023-06-13 15:31:46,0:00:00.903658,668.8764953613281,810.44482421875,23431.0,837.0,19.5,217.13,67.0
36,2023-06-13 15:31:47,0:00:01.032261,723.6493225097656,834.4456176757812,23431.0,837.0,19.5,222.25,66.0
37,2023-06-13 15:31:48,0:00:01.280093,616.6397705078125,849.3588256835938,23431.0,837.0,19.5,209.48,67.0
38,2023-06-13 15:31:50,0:00:01.598273,615.2847595214844,849.4969482421875,23431.0,837.0,19.5,210.87,68.0
39,2023-06-13 15:31:52,0:00:01.672194,587.8197174072266,832.609375,23431.0,837.0,19.5,210.61,68.0
40,2023-06-13 15:31:54,0:00:01.547701,632.3320617675781,809.202392578125,23431.0,837.0,19.5,210.08,67.0
41,2023-06-13 15:31:55,0:00:01.598021,599.1122436523438,794.8916015625,23431.0,837.0,19.5,212.69,68.0
42,2023-06-13 15:31:57,0:00:01.299787,667.4327087402344,788.5339965820312,23431.0,837.0,19.5,209.62,66.0
43,2023-06-13 15:31:59,0:00:01.656170,654.7176513671875,783.7069091796875,23431.0,837.0,19.3,205.30,66.0
44,2023-06-13 15:32:01,0:00:01.856133,693.9917297363281,780.4156494140625,23431.0,837.0,19.3,198.87,66.0
45,2023-06-13 15:32:03,0:00:01.734485,640.7622680664062,780.9252319335938,23431.0,837.0,19.3,196.65,66.0
46,2023-06-13 15:32:05,0:00:01.978466,642.3397216796875,789.0960693359375,23431.0,837.0,19.3,190.47,66.0
47,2023-06-13 15:32:07,0:00:02.065190,660.8016967773438,801.4947509765625,23431.0,837.0,19.3,204.68,66.0
48,2023-06-13 15:32:09,0:00:01.655137,679.2885437011719,806.4585571289062,23431.0,837.0,19.3,223.11,68.0
49,2023-06-13 15:32:11,0:00:01.094035,640.2383728027344,798.6904296875,23431.0,837.0,19.5,209.91,68.0
50,2023-06-13 15:32:12,0:00:00.977220,607.8151550292969,798.649169921875,23431.0,837.0,19.6,209.67,66.0
51,2023-06-13 15:32:15,0:00:00.557389,764.6906127929688,790.3346557617188,23433.0,835.0,19.3,179.40,66.0
52,2023-06-13 15:32:16,0:00:00.665605,702.1692199707031,773.55078125,23433.0,835.0,19.3,184.24,66.0
53,2023-06-13 15:32:17,0:00:01.792651,746.7637023925781,767.90625,23433.0,835.0,19.3,196.46,66.0
54,2023-06-13 15:32:19,0:00:01.928866,596.665283203125,767.1810913085938,23433.0,835.0,19.3,191.72,66.0
55,2023-06-13 15:32:21,0:00:02.014644,673.2048034667969,772.8815307617188,23433.0,835.0,19.4,194.47,66.0
56,2023-06-13 15:32:23,0:00:01.837539,551.3226776123047,790.3370971679688,23433.0,835.0,19.3,220.49,68.0
57,2023-06-13 15:32:25,0:00:01.469010,565.0938415527344,799.4810791015625,23433.0,835.0,19.5,222.95,66.0
58,2023-06-13 15:32:27,0:00:01.444705,608.966552734375,782.8971557617188,23433.0,835.0,19.5,216.44,67.0
59,2023-06-13 15:32:29,0:00:01.214939,597.4241027832031,761.1270751953125,23433.0,835.0,19.5,210.63,67.0
60,2023-06-13 15:32:30,0:00:00.966833,662.8039855957031,746.8946533203125,23433.0,835.0,19.5,208.05,67.0
61,2023-06-13 15:32:31,0:00:01.211119,647.6861877441406,747.7161254882812,23433.0,835.0,19.5,208.96,66.0
62,2023-06-13 15:32:33,0:00:01.628179,597.2561950683594,765.1886596679688,23433.0,835.0,19.5,203.78,66.0
63,2023-06-13 15:32:35,0:00:01.659420,600.9122924804688,769.5706176757812,23433.0,835.0,19.3,198.76,67.0
64,2023-06-13 15:32:37,0:00:02.189065,613.8787231445312,758.5441284179688,23433.0,835.0,19.3,195.30,66.0
65,2023-06-13 15:32:39,0:00:01.653780,583.9712219238281,750.4729614257812,23433.0,835.0,19.5,220.63,67.0
66,2023-06-13 15:32:41,0:00:01.495091,587.8903198242188,740.8268432617188,23433.0,835.0,19.5,210.50,68.0
67,2023-06-13 15:32:43,0:00:00.946791,609.9438171386719,733.451416015625,23433.0,835.0,19.5,214.24,69.0
68,2023-06-13 15:32:44,0:00:01.368545,609.3040161132812,732.7439575195312,23433.0,835.0,19.5,214.10,66.0
