EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 17:05:31,0:00:02.393507,00:00:05,24937.944661458332,25318.0234375,12662.0,11606.0,10.6,158.67,57.0
2,2023-06-13 17:05:33,0:00:00.637848,00:00:06,24947.404947916668,25312.84765625,12662.0,11606.0,10.8,202.43,58.0
3,2023-06-13 17:05:34,0:00:00.576160,00:00:06,24473.501302083332,25307.748046875,12662.0,11606.0,10.8,209.35,58.0
4,2023-06-13 17:05:35,0:00:00.629304,00:00:07,24146.279947916668,25302.3984375,12662.0,11606.0,10.8,210.82,59.0
5,2023-06-13 17:05:35,0:00:00.694628,00:00:08,23491.73046875,25296.599609375,12662.0,11606.0,10.8,211.30,58.0
6,2023-06-13 17:05:36,0:00:00.573700,00:00:09,23306.131510416668,25289.646484375,12662.0,11606.0,10.8,211.61,59.0
7,2023-06-13 17:05:37,0:00:00.677467,00:00:09,24949.696614583332,25281.09765625,12662.0,11606.0,10.6,212.40,59.0
8,2023-06-13 17:05:38,0:00:00.658240,00:00:10,24714.29296875,25270.333984375,12662.0,11606.0,10.6,213.07,59.0
9,2023-06-13 17:05:39,0:00:00.679057,00:00:11,24902.134765625,25256.55078125,12662.0,11606.0,10.8,212.63,59.0
10,2023-06-13 17:05:39,0:00:00.553846,00:00:12,22634.298828125,25239.0703125,12662.0,11606.0,10.8,213.51,60.0
11,2023-06-13 17:05:40,0:00:00.627364,00:00:13,26892.531901041668,25217.20703125,12662.0,11606.0,10.6,213.37,60.0
12,2023-06-13 17:05:41,0:00:00.613179,00:00:13,25115.160807291668,25189.71484375,12662.0,11606.0,10.8,210.95,60.0
13,2023-06-13 17:05:42,0:00:00.594844,00:00:14,26841.059244791668,25154.939453125,12662.0,11606.0,10.6,210.20,60.0
14,2023-06-13 17:05:42,0:00:00.639415,00:00:15,25169.302734375,25110.087890625,12662.0,11606.0,10.8,213.88,60.0
15,2023-06-13 17:05:43,0:00:00.680605,00:00:16,23940.115234375,25052.65234375,12662.0,11606.0,10.8,212.54,60.0
16,2023-06-13 17:05:44,0:00:00.627518,00:00:16,24642.889973958332,24980.328125,12662.0,11606.0,10.8,213.28,60.0
17,2023-06-13 17:05:45,0:00:00.722600,00:00:17,24636.863932291668,24889.974609375,12662.0,11606.0,10.6,203.42,61.0
18,2023-06-13 17:05:46,0:00:00.604546,00:00:18,23956.081380208332,24778.041015625,12662.0,11606.0,10.6,214.58,61.0
19,2023-06-13 17:05:46,0:00:00.709134,00:00:19,24520.325520833332,24641.435546875,12662.0,11606.0,10.8,202.83,61.0
20,2023-06-13 17:05:47,0:00:00.650587,00:00:20,24061.166015625,24475.771484375,12662.0,11606.0,10.8,214.94,61.0
21,2023-06-13 17:05:48,0:00:00.670725,00:00:21,23969.044270833332,24275.634765625,12662.0,11606.0,10.8,215.67,61.0
22,2023-06-13 17:05:49,0:00:00.640489,00:00:21,22429.251302083332,24036.685546875,12662.0,11606.0,10.8,214.37,61.0
23,2023-06-13 17:05:50,0:00:00.647313,00:00:22,23420.035807291668,23753.3828125,12662.0,11606.0,10.8,213.84,61.0
24,2023-06-13 17:05:50,0:00:00.647069,00:00:23,23036.249348958332,23417.458984375,12662.0,11606.0,10.8,212.62,61.0
25,2023-06-13 17:05:51,0:00:00.626640,00:00:24,21718.0859375,23022.671875,12662.0,11606.0,10.8,213.48,62.0
26,2023-06-13 17:05:52,0:00:00.641593,00:00:24,22498.304036458332,22566.1640625,12662.0,11606.0,10.6,213.84,62.0
27,2023-06-13 17:05:53,0:00:00.672985,00:00:25,21375.294270833332,22041.626953125,12662.0,11606.0,10.8,215.44,62.0
28,2023-06-13 17:05:54,0:00:00.681542,00:00:26,21656.949869791668,21439.416015625,12662.0,11606.0,10.6,214.21,62.0
29,2023-06-13 17:05:55,0:00:00.614453,00:00:27,19918.53515625,20755.28515625,12662.0,11606.0,10.8,212.91,62.0
30,2023-06-13 17:05:55,0:00:00.667098,00:00:28,20889.542317708332,19982.388671875,12662.0,11606.0,10.8,198.54,62.0
31,2023-06-13 17:05:56,0:00:00.699471,00:00:29,17978.536458333332,19120.109375,12662.0,11606.0,10.6,209.92,62.0
32,2023-06-13 17:05:57,0:00:00.711451,00:00:29,17395.359375,18167.607421875,12662.0,11606.0,10.6,214.75,62.0
33,2023-06-13 17:05:58,0:00:00.602167,00:00:30,17104.011067708332,17120.326171875,12662.0,11606.0,10.8,214.53,63.0
34,2023-06-13 17:05:59,0:00:00.591709,00:00:31,14962.861328125,15990.0859375,12662.0,11606.0,10.8,215.19,63.0
35,2023-06-13 17:05:59,0:00:00.597514,00:00:32,15880.330078125,14785.1953125,12662.0,11606.0,10.8,215.22,63.0
36,2023-06-13 17:06:00,0:00:00.632945,00:00:33,14307.984375,13516.36328125,12662.0,11606.0,10.8,217.52,63.0
37,2023-06-13 17:06:01,0:00:00.699830,00:00:33,14182.226236979166,12201.3330078125,12662.0,11606.0,10.8,204.14,63.0
38,2023-06-13 17:06:02,0:00:00.620579,00:00:34,10065.582682291666,10865.0625,12662.0,11606.0,10.8,213.63,63.0
39,2023-06-13 17:06:03,0:00:00.725024,00:00:35,12390.346354166666,9543.193359375,12662.0,11606.0,10.6,199.11,63.0
40,2023-06-13 17:06:03,0:00:00.741534,00:00:36,8095.640950520833,8272.9697265625,12662.0,11606.0,10.6,192.53,63.0
41,2023-06-13 17:06:04,0:00:00.670870,00:00:37,6527.42822265625,7094.712890625,12662.0,11606.0,10.6,216.58,64.0
42,2023-06-13 17:06:05,0:00:00.684523,00:00:38,5692.53662109375,6035.07421875,12662.0,11606.0,10.8,215.87,64.0
43,2023-06-13 17:06:06,0:00:00.591486,00:00:38,4284.164632161458,5125.25927734375,12662.0,11606.0,10.8,214.06,64.0
44,2023-06-13 17:06:07,0:00:00.659823,00:00:39,6672.556070963542,4365.54833984375,12662.0,11606.0,10.6,216.23,64.0
45,2023-06-13 17:06:08,0:00:00.652311,00:00:40,4347.983723958333,3743.7939453125,12662.0,11606.0,10.8,216.46,64.0
46,2023-06-13 17:06:08,0:00:00.638317,00:00:41,3449.7427571614585,3262.990234375,12662.0,11606.0,10.6,214.83,64.0
47,2023-06-13 17:06:09,0:00:00.680434,00:00:42,2632.5484212239585,2915.599365234375,12662.0,11606.0,10.6,217.23,64.0
48,2023-06-13 17:06:10,0:00:00.695544,00:00:42,2847.8779296875,2662.728515625,12662.0,11606.0,10.8,217.13,64.0
49,2023-06-13 17:06:11,0:00:00.606947,00:00:43,2851.4082845052085,2464.94384765625,12662.0,11606.0,10.6,214.98,64.0
50,2023-06-13 17:06:12,0:00:00.635587,00:00:44,2052.141886393229,2297.02490234375,12662.0,11606.0,10.8,216.36,65.0
51,2023-06-13 17:06:14,0:00:00.636492,00:00:46,2807.128946940104,2152.239990234375,12662.0,11606.0,10.8,186.70,64.0
52,2023-06-13 17:06:15,0:00:00.645447,00:00:47,1819.5177001953125,2025.582763671875,12662.0,11606.0,10.9,215.74,64.0
53,2023-06-13 17:06:16,0:00:00.660858,00:00:48,1762.1580403645833,1904.5067138671875,12662.0,11606.0,10.9,207.91,65.0
54,2023-06-13 17:06:16,0:00:00.644036,00:00:49,1765.363525390625,1793.7772216796875,12662.0,11606.0,10.9,214.99,65.0
55,2023-06-13 17:06:17,0:00:00.697686,00:00:50,1479.9480794270833,1704.1676025390625,12662.0,11606.0,10.9,213.48,65.0
56,2023-06-13 17:06:18,0:00:00.584467,00:00:50,1228.7223510742188,1634.349853515625,12662.0,11606.0,10.9,215.62,65.0
57,2023-06-13 17:06:19,0:00:00.598713,00:00:51,1216.6436564127605,1583.48681640625,12662.0,11606.0,10.9,216.85,65.0
58,2023-06-13 17:06:19,0:00:00.648965,00:00:52,1203.9465738932292,1549.4071044921875,12662.0,11606.0,10.9,217.16,65.0
59,2023-06-13 17:06:20,0:00:00.670411,00:00:53,1072.543436686198,1529.46875,12662.0,11606.0,10.9,206.15,65.0
60,2023-06-13 17:06:21,0:00:00.666563,00:00:54,2642.205118815104,1497.836181640625,12662.0,11606.0,10.9,215.89,65.0
61,2023-06-13 17:06:22,0:00:00.657849,00:00:54,1091.8126627604167,1443.8787841796875,12662.0,11606.0,10.9,217.62,65.0
62,2023-06-13 17:06:23,0:00:00.631282,00:00:55,946.3668924967448,1391.9351806640625,12662.0,11606.0,10.9,217.85,65.0
63,2023-06-13 17:06:24,0:00:00.637606,00:00:56,1108.2576904296875,1347.21240234375,12662.0,11606.0,10.9,217.33,65.0
64,2023-06-13 17:06:24,0:00:00.685225,00:00:57,1115.3679606119792,1308.4482421875,12662.0,11606.0,10.9,214.01,65.0
65,2023-06-13 17:06:25,0:00:00.615588,00:00:58,1881.167724609375,1279.825439453125,12662.0,11606.0,10.9,217.12,66.0
66,2023-06-13 17:06:26,0:00:00.594680,00:00:58,1025.8711344401042,1254.0665283203125,12662.0,11606.0,10.9,220.60,66.0
67,2023-06-13 17:06:27,0:00:00.583235,00:00:59,795.3587951660156,1243.93017578125,12662.0,11606.0,10.9,215.32,66.0
68,2023-06-13 17:06:27,0:00:00.717124,00:01:00,1569.7411499023438,1234.1142578125,12662.0,11606.0,10.9,203.94,66.0
69,2023-06-13 17:06:28,0:00:00.646163,00:01:01,813.0087381998698,1215.1231689453125,12662.0,11606.0,10.9,216.82,66.0
70,2023-06-13 17:06:29,0:00:00.683793,00:01:02,860.1831665039062,1200.98193359375,12662.0,11606.0,10.9,215.83,66.0
71,2023-06-13 17:06:30,0:00:00.667706,00:01:02,714.2112325032552,1195.6083984375,12662.0,11606.0,10.9,217.07,66.0
72,2023-06-13 17:06:31,0:00:00.640054,00:01:03,1018.1044921875,1188.0478515625,12662.0,11606.0,10.9,217.55,66.0
73,2023-06-13 17:06:32,0:00:00.647548,00:01:04,993.60498046875,1180.2266845703125,12662.0,11606.0,10.9,216.97,66.0
74,2023-06-13 17:06:32,0:00:00.619013,00:01:05,700.3564656575521,1184.6746826171875,12662.0,11606.0,10.9,216.76,66.0
75,2023-06-13 17:06:33,0:00:00.666827,00:01:06,1931.385274251302,1181.434814453125,12662.0,11606.0,10.9,216.90,66.0
76,2023-06-13 17:06:34,0:00:00.597238,00:01:06,729.3987223307291,1165.2550048828125,12662.0,11606.0,10.9,221.95,66.0
77,2023-06-13 17:06:35,0:00:00.572367,00:01:07,694.9745941162109,1151.5816650390625,12662.0,11606.0,10.9,216.79,66.0
78,2023-06-13 17:06:35,0:00:00.649809,00:01:08,817.9416097005209,1144.1165771484375,12662.0,11606.0,10.9,219.10,66.0
79,2023-06-13 17:06:36,0:00:00.580772,00:01:09,673.3425343831381,1145.2119140625,12662.0,11606.0,10.9,221.61,67.0
80,2023-06-13 17:06:37,0:00:00.634199,00:01:09,909.702392578125,1144.3638916015625,12662.0,11606.0,10.9,218.43,66.0
81,2023-06-13 17:06:38,0:00:00.583324,00:01:10,729.8108520507812,1138.6048583984375,12662.0,11606.0,10.9,218.26,66.0
82,2023-06-13 17:06:38,0:00:00.671993,00:01:11,810.6573893229166,1132.3846435546875,12662.0,11606.0,10.9,218.33,66.0
83,2023-06-13 17:06:39,0:00:00.619860,00:01:12,935.0078735351562,1121.7554931640625,12662.0,11606.0,10.9,220.27,66.0
84,2023-06-13 17:06:40,0:00:00.605388,00:01:12,744.4389343261719,1112.3065185546875,12662.0,11606.0,10.9,223.99,67.0
85,2023-06-13 17:06:41,0:00:00.635651,00:01:13,798.9496256510416,1109.8170166015625,12662.0,11606.0,10.9,219.18,67.0
86,2023-06-13 17:06:42,0:00:00.625207,00:01:14,1323.2105712890625,1107.8048095703125,12662.0,11606.0,10.9,216.96,67.0
87,2023-06-13 17:06:42,0:00:00.572216,00:01:15,1084.242431640625,1101.024169921875,12662.0,11606.0,10.9,224.87,67.0
88,2023-06-13 17:06:43,0:00:00.662363,00:01:16,765.6617736816406,1095.757080078125,12662.0,11606.0,10.9,219.22,67.0
